station,temp,YY,MM,DD,hh,mm
bdxc1,12.00416667,2017,4,16,23,0
bdxc1,11.8625,2017,4,17,23,0
bdxc1,12.27083333,2017,4,18,23,0
bdxc1,13.125,2017,4,19,23,0
bdxc1,13.35833333,2017,4,20,23,0
bdxc1,12.77916667,2017,4,21,23,0
bdxc1,12.825,2017,4,22,23,0
bdxc1,11.68333333,2017,4,23,23,0
bdxc1,10.87916667,2017,4,24,23,0
bdxc1,10.475,2017,4,25,23,0
bdxc1,10.5,2017,4,26,23,0
bdxc1,10.4375,2017,4,27,23,0
bdxc1,9.9875,2017,4,28,23,0
bdxc1,9.658333333,2017,4,29,23,0
bdxc1,9.829166667,2017,4,30,23,0
bdxc1,9.733333333,2017,5,1,23,0
bdxc1,9.879166667,2017,5,2,23,0
bdxc1,10.05416667,2017,5,3,23,0
bdxc1,11.19166667,2017,5,4,23,0
bdxc1,11.625,2017,5,5,23,0
bdxc1,10.52083333,2017,5,6,23,0
bdxc1,9.666666667,2017,5,7,23,0
bdxc1,11.26666667,2017,5,8,23,0
bdxc1,10.26521739,2017,5,9,23,0
bdxc1,10.1125,2017,5,10,23,0
bdxc1,10.4375,2017,5,11,23,0
bdxc1,11.45,2017,5,12,23,0
bdxc1,10.84583333,2017,5,13,23,0
bdxc1,10.22083333,2017,5,14,23,0
bdxc1,9.929166667,2017,5,15,23,0
bdxc1,9.716666667,2017,5,16,23,0
bdxc1,9.304166667,2017,5,17,23,0
bdxc1,9.079166667,2017,5,18,23,0
bdxc1,9.783333333,2017,5,19,23,0
bdxc1,10.7,2017,5,20,23,0
bdxc1,10.9375,2017,5,21,23,0
bdxc1,11.1375,2017,5,22,23,0
bdxc1,12.25,2017,5,23,23,0
bdxc1,12.99166667,2017,5,24,23,0
bdxc1,12.82083333,2017,5,25,23,0
bdxc1,13.43333333,2017,5,26,23,0
bdxc1,13.35,2017,5,27,23,0
bdxc1,13.72083333,2017,5,28,23,0
bdxc1,11.61666667,2017,5,29,23,0
bdxc1,10.675,2017,5,30,23,0
bdxc1,10.48333333,2017,5,31,23,0
bdxc1,10.1375,2017,6,1,23,0
bdxc1,10.27083333,2017,6,2,23,0
bdxc1,9.5125,2017,6,3,23,0
bdxc1,9.779166667,2017,6,4,23,0
bdxc1,9.466666667,2017,6,5,23,0
bdxc1,9.704166667,2017,6,6,23,0
bdxc1,10.075,2017,6,7,23,0
bdxc1,10.64166667,2017,6,8,23,0
bdxc1,11.28333333,2017,6,9,23,0
bdxc1,11.84583333,2017,6,10,23,0
bdxc1,12.09583333,2017,6,11,23,0
bdxc1,10.87083333,2017,6,12,23,0
bdxc1,10.12916667,2017,6,13,23,0
bdxc1,10.14166667,2017,6,14,23,0
bdxc1,9.8625,2017,6,15,23,0
bdxc1,9.741666667,2017,6,16,23,0
bdxc1,9.941666667,2017,6,17,23,0
bdxc1,10.04583333,2017,6,18,23,0
bdxc1,11.29166667,2017,6,19,23,0
bdxc1,11.525,2017,6,20,23,0
bdxc1,11,2017,6,21,23,0
bdxc1,12.2375,2017,6,22,23,0
bdxc1,13.41666667,2017,6,23,23,0
bdxc1,14.25833333,2017,6,24,23,0
bdxc1,14.6625,2017,6,25,23,0
bdxc1,14.70416667,2017,6,26,23,0
bdxc1,13.975,2017,6,27,23,0
bdxc1,11.72916667,2017,6,28,23,0
bdxc1,11.925,2017,6,29,23,0
bdxc1,11.44166667,2017,6,30,23,0
bdxc1,11.01666667,2017,7,1,23,0
bdxc1,10.3125,2017,7,2,23,0
bdxc1,11.25416667,2017,7,3,23,0
bdxc1,12.05,2017,7,4,23,0
bdxc1,12.85,2017,7,5,23,0
bdxc1,13,2017,7,6,23,0
bdxc1,12.00416667,2017,7,7,23,0
bdxc1,11.0875,2017,7,8,23,0
bdxc1,10.32916667,2017,7,9,23,0
bdxc1,11.06666667,2017,7,10,23,0
bdxc1,11.0875,2017,7,11,23,0
bdxc1,11.94583333,2017,7,12,23,0
bdxc1,12.7625,2017,7,13,23,0
bdxc1,13.1625,2017,7,14,23,0
bdxc1,13.43333333,2017,7,15,23,0
bdxc1,12.84166667,2017,7,16,23,0
bdxc1,11.4,2017,7,17,23,0
bdxc1,10.85416667,2017,7,18,23,0
bdxc1,10.52083333,2017,7,19,23,0
bdxc1,10.5375,2017,7,20,23,0
bdxc1,10.36666667,2017,7,21,23,0
bdxc1,10.28333333,2017,7,22,23,0
bdxc1,11.32083333,2017,7,23,23,0
bdxc1,12.6375,2017,7,24,23,0
bdxc1,13.08333333,2017,7,25,23,0
bdxc1,13.39166667,2017,7,26,23,0
bdxc1,13.93333333,2017,7,27,23,0
bdxc1,14.1,2017,7,30,23,0
bdxc1,13.56666667,2017,7,31,23,0
bdxc1,14.575,2017,8,1,23,0
bdxc1,15.32916667,2017,8,2,23,0
bdxc1,14.99583333,2017,8,3,23,0
bdxc1,14.80416667,2017,8,4,23,0
bdxc1,14.80416667,2017,8,5,23,0
bdxc1,14.58333333,2017,8,6,23,0
bdxc1,14.3125,2017,8,7,23,0
bdxc1,14.12083333,2017,8,8,23,0
bdxc1,14.09333333,2017,8,9,23,0
bdxc1,11.63333333,2017,8,15,23,0
bdxc1,12.35,2017,8,16,23,0
bdxc1,13.19166667,2017,8,17,23,0
bdxc1,13.53333333,2017,8,18,23,0
bdxc1,13.90833333,2017,8,19,23,0
bdxc1,14.0625,2017,8,20,23,0
bdxc1,14.49583333,2017,8,21,23,0
bdxc1,15.12916667,2017,8,22,23,0
bdxc1,15.49166667,2017,8,23,23,0
bdxc1,14.98333333,2017,8,24,23,0
bdxc1,13.8875,2017,8,25,23,0
bdxc1,14.04166667,2017,8,26,23,0
bdxc1,13.79166667,2017,8,27,23,0
bdxc1,13.775,2017,8,28,23,0
bdxc1,13.37083333,2017,8,29,23,0
bdxc1,13.19583333,2017,8,30,23,0
bdxc1,12.1375,2017,8,31,23,0
