book_id,title,author,publisher,creation_date,pub_date,item_type,location_code,material_type,barcode,publication_place,language,descripton,loans
830,On teaching and writing fiction /,"Stegner, Wallace, 1909-1993.",Penguin Books,2016-08-03T01:53:43Z,2002.,Book - Physical,GEN,Book,31175027367351,"New York, N.Y. :",eng,NA,1
831,Aesthetics and nature /,"Parsons, Glenn.",Continuum International Pub,2016-08-03T01:54:41Z,©2008.,Book - Physical,GEN,Book,31175032703095,London ; New York :,eng,NA,1
832,"Democracy, inequality, and representation : a comparative perspective /",NA,Russell Sage Foundation,2021-07-20T10:32:06Z,©2008.,Book - Physical,GEN,Book,31175032701362,"New York, N.Y. :",eng,NA,1
833,Expo : international expositions 1851-2010 /,"Jackson, Anna (Anna M. F.)",Distributed in North America by Harry N Abrams Inc; V & A Publishing Victoria and Albert Museum,2016-08-03T01:54:56Z,2008.,Book - Physical,GEN,Book,31175032644547,London : New York :,eng,NA,1
834,Bulletin /,NA,California State Print Office,2016-08-03T01:55:01Z,[1922-1929],Other Serial (Ceased publication) - Physical,GEN,Journal,31175032772785,Sacramento :,eng,no.11 c.3,1
835,Bernini and the birth of Baroque portrait sculpture /,NA,National Gallery of Canada; J Paul Getty Museum,2016-08-03T01:55:04Z,©2008.,Book - Physical,GEN,Book,31175032701800,Los Angeles : Ottawa :,eng,NA,1
836,The holy and the profane : evolution of Jewish folkways /,"Gaster, Theodor Herzl, 1906-1992.",W Morrow,2016-08-03T01:55:06Z,1980.,Book - Physical,GEN,Book,31175007635850,New York :,eng,NA,1
837,You're living all over me /,"Attfield, Nicholas William James, 1981-",Continuum,2016-08-03T01:55:09Z,2011.,Book - Physical,GEN,Book,31175034113335,New York :,eng,NA,1
838,Sufi heirs of the Prophet : the Indian Naqshbandiyya and the rise of the mediating sufi shaykh /,"Buehler, Arthur F.",University of South Carolina Press,2016-08-03T01:55:30Z,©1998.,Book - Physical,GEN,Book,31175022611514,Columbia :,eng,NA,1
839,Aldous Huxley & W.H. Auden : on language /,"Izzo, David Garrett.",Locust Hill Press,2016-08-03T01:55:32Z,1998.,Book - Physical,GEN,Book,31175022774163,"West Cornwall, CT :",eng,NA,1
